word,definition
Voltage,"Voltage, also known as electric pressure, electric tension, or (electric) potential difference, is the difference in electric potential between two points. In a static electric field, it corresponds to the work needed per unit of charge to move a test charge between the two points. In the International System of Units (SI), the derived unit for voltage is named volt.[1]: 166 
"
assailant,"
"
Ayala,"Ayala  may refer to:
"
Kwame,"
"
RMQ,"RMQ may refer to
"
Songbird,"
"
Sixth,"Sixth is the ordinal form of the number six.
"
Barberton,"Barberton may refer to:
"
carbamate,"In organic chemistry, a carbamate is a category of organic compounds with the general formula R2NC(O)OR and structure >N−C(=O)−O−, which are formally derived from carbamic acid (NH2COOH).  The term includes organic compounds (e.g., the ester ethyl carbamate), formally obtained by replacing one or more of the hydrogen atoms by other organic functional groups; as well as salts with the carbamate anion H2NCOO− (e.g. ammonium carbamate).[1]
"
Samuha,"Šamuḫa is an ancient settlement near the village of Kayalı Pinar, c. 40 km west of Sivas, in the Sivas Province of Turkey. Located on the northern bank of Kizil Irmak river, it was  a  city of the Hittites, a religious centre and, for a few years, a military capital for the empire. Samuha's faith was syncretistic. Rene Lebrun in 1976 called Samuha the ""religious foyer of the Hittite Empire"".
"
Posen,"Posen may refer to:
"
Farmstead,"A farmstead refers to the buildings and service areas associated with a farm. It consists of a house belonging to a farm along with the surrounding buildings.[1] The characteristics of a specific farmstead reflect the local landscape, which provides their environmental context. Some farmsteads have additional outlying field barns and outfarms somewhat further afield than the main cluster of buildings at the farmstead.[2]
"
Windsfeld,"Other reasons this message may be displayed:
"
Fire,"
"
apron,"
"
Sareni,"Lopătari is a commune in Buzău County, Muntenia, Romania. It is composed of eleven villages: Brebu, Fundata, Lopătari, Luncile, Pestrițu, Plaiu Nucului, Ploștina, Potecu, Săreni, Terca and Vârteju.
"
Gardens,"A garden is a planned space, usually outdoors, set aside for the cultivation, display, and enjoyment of plants and other forms of nature. The single feature identifying even the wildest wild garden is control. The garden can incorporate both natural and artificial materials.[1]
"
Mylonas,"Mylonas (Greek: Μυλωνάς) is a Greek and Cypriot Greek family name[1][2] with the etymological meaning ""miller."" The genitive case form Mylona (Μυλωνά) is also used for female name-bearers.
Notable people with this surname include:
"
Pilatian,"Other reasons this message may be displayed:
"
Nox,"Nox may refer to:
"
Maundrell,"Maundrell is a surname. Notable people with the surname include:
"
CECyT,"The Centro de Estudios Científicos y Tecnológicos also known as CECyT (in English: Center of Scientific and Technological Studies) is a state Bachillerato Bivalente system in Mexico, belonging to the National Polytechnic Institute (IPN).
"
Kwantung,"The Kwantung Leased Territory (Japanese: 關東州, Kantō-shū; traditional Chinese: 關東州; simplified Chinese: 关东州; pinyin: Guāndōng zhōu; Wade–Giles: Kwan1-tung1-chou1) was a leased territory of the Empire of Japan in the Liaodong Peninsula from 1905 to 1945.
"
Talhah,"
"
TEACHERS,"Other reasons this message may be displayed:
"
Bracciali,"Daniele Bracciali (Italian pronunciation: [daˈnjɛːle bratˈtʃaːli]; born 10 January 1978) is an Italian former tennis player, best ranked world no. 21 in doubles. His career-high ATP singles ranking is world no. 49, achieved in May 2006. In doubles, he reached the semifinals of the 2012 French Open and the quarterfinals of the 2013 Australian Open. In mixed doubles, he reached the semifinals of the 2012 Australian and French Opens.
"
MASER,"A maser (/ˈmeɪzər/; Microwave Amplification by Stimulated Emission of Radiation) is a device that produces coherent electromagnetic waves through amplification by stimulated emission. The first maser was built by Charles H. Townes, James P. Gordon, and Herbert J. Zeiger at Columbia University in 1953. Townes, Nikolay Basov and Alexander Prokhorov were awarded the 1964 Nobel Prize in Physics for theoretical work leading to the maser. Masers are also used as the timekeeping device in atomic clocks, and as extremely low-noise microwave amplifiers in radio telescopes and deep-space spacecraft communication ground stations.
"
Tisch,"Tisch may refer to:
"
Savath,"Other reasons this message may be displayed:
"
Sandringham,"Sandringham can refer to:
"
Deferment,"Deferral or deferment may refer to:
"
Nako,"Nako may refer to:
"
Corio,"Corio may refer to:
"
Pazar,"Pazar may refer to:
"
BLNO,"Basketligaen Norge, better known as BLNO is Norway's premier professional men's basketball league. It was established in 2000. The competition is organised by the Norwegian Basketball Federation (NBBF).
"
Azor,"Azor (Hebrew: אָזוֹר, Arabic: أزور) (also Azur) is a small town (local council) in the Tel Aviv District of Israel, on the old Jaffa-Jerusalem road southeast of Tel Aviv. Established in 1948 on the site of the depopulated Palestinian village of Yazur, Azor was granted local council status in 1951.[2] In 2021 it had a population of 13,474,[1] and has a jurisdiction of 2,415 dunams (2.415 km2; 0.932 sq mi).[3]
"
Adrenalectomized,"Other reasons this message may be displayed:
"
Sandown,"
"
Dyneburg,"Daugavpils (Latvian pronunciation: [ˈdauɡaupils] (listen); Russian: Даугавпилс; Latgalian: Daugpiļs [ˈdaʊkʲpʲilʲsʲ]; German: Dünaburg,[3] German pronunciation: [ˈdyːnaˌbʊʁk] (listen); Polish: Dyneburg Lithuanian: Daugpilis; see other names) is a state city in south-eastern Latvia, located on the banks of the Daugava River, from which the city gets its name.[4] The parts of the city north of the river belong to the historical Latvian region of Latgale, and those to the south lie in Selonia. It is the second-largest city in the country after the capital Riga, which is located some 230 kilometres (143 miles) to its north-west.[4]
"
Cancellarius,"Cancelli are lattice-work, placed before a window, a door-way, the tribunal of a judge, the chancel  of a church, or any other similar place.[1][2]
"
Unconvinced,"Other reasons this message may be displayed:
"
Pedernales,"Pedernales may refer to:
"
Cosworth,"
"
Chapultepec,"Chapultepec, more commonly called the ""Bosque de Chapultepec"" (Chapultepec Forest) in Mexico City, is one of the largest city parks in Mexico, measuring in total just over 686 hectares (1,695 acres). Centered on a rock formation called Chapultepec Hill, one of the park's main functions is as an ecological space in Greater Mexico City. It is considered the first and most important of Mexico City's ""lungs"".
"
Yeryomenko,"Other reasons this message may be displayed:
"
Kedangese,"Other reasons this message may be displayed:
"
Lourdes,"
"
STNA,"Other reasons this message may be displayed:
"
Wydad,"
"
Technologies,"
"
Lakehead,"Lakehead can refer to:
"
Pontmercy,"Other reasons this message may be displayed:
"
Greensboro,"
"
Holcomb,"Holcomb may refer to:
"
Lancastrian,"Lancastrian may refer to:
"
Persecution,"Persecution is the systematic mistreatment of an individual or group by another individual or group. The most common forms are religious persecution, racism, and political persecution, though there is naturally some overlap between these terms. The inflicting of suffering, harassment, imprisonment, internment, fear or pain are all factors that may establish persecution, but not all suffering will necessarily establish persecution. The threshold of severity has been a source of much debate.[1]
"
BPP,"BPP may refer to:
"
Paakantyi,"
"
Ela,"Ela or ELA may refer to:
"
Mula,"Mula may refer to:
"
Bury,"Bury may refer to:
"
Athacus,"Other reasons this message may be displayed:
"
Pompeo,"Pompeo is both a masculine Italian given name and a surname, derived from the Roman ""Pompeius"". Notable people with the name include:
"
Leppkoski,"Other reasons this message may be displayed:
"
Sausgruber,"Other reasons this message may be displayed:
"
Hezhou,"Hezhou (贺州) is a prefecture-level city in the northeast of the Guangxi Zhuang Autonomous Region, People's Republic of China.
"
bipunctalis,"Other reasons this message may be displayed:
"
UniForum,"Other reasons this message may be displayed:
"
Polskiy,"Other reasons this message may be displayed:
"
Bacolod,"
"
Buikhatli,"The Botlikh people (also known as Bótligh, Botlig, Botlog or Buikhatli) are an Andi–Dido people of Dagestan. Until the 1930s they were considered a distinct people. Since that time they have been classified as Caucasian Avars and have faced a campaign to have them assimilate into that population. The Botlikh are primarily Sunni Muslims.[2][3]
"
Garoua,"Garoua (also Garua; Fula: 𞤺𞤢𞤪𞤱𞤢, Garwa) is a port city and the capital of the North Region of Cameroon, lying on the Benue River. A thriving centre of the textiles and cotton industries, the city has approximately 1,285,000 inhabitants in 2020, mostly Fulbe/Fulani.[1]
"
Sinulog,"
"
Rakahuri,"
"
Ibad,"The ʿIbād or ʿEbād[1] (Arabic: عِباد) were a Christian Arab group within the city of al-Ḥīra (Ḥirtā) during Late Antiquity and the early Middle Ages, when the city was part of the Sasanian Empire and later the Caliphate. Of diverse tribal backgrounds, the ʿIbād were united only by their adherence to Christianity and, after the sixth century, the Church of the East.
"
Arnswalde,"Choszczno [ˈxɔʂt͡ʂnɔ] (listen) (German: Arnswalde)[2] is a town in West Pomeranian Voivodeship, Poland. As of December 2021, the town has a population of 14,831.[1] The town is in a marshy district between the river Stobnica and Klukom lake, 32 kilometres (20 mi) southeast of Stargard and on the main railway line between Szczecin and Poznań. Besides the Gothic church, there are a number of historical buildings from the 19th century industrial period namely, a gasification plant and a water pressure tower which dominates the town's skyline.
"
Illibuck,"The Illibuck Trophy is the centerpiece of an American college football rivalry between the Illinois Fighting Illini football team of the University of Illinois and Ohio State Buckeyes football team of Ohio State University, with the winner of their game receiving said trophy.
"
Tsuiho,"Other reasons this message may be displayed:
"
Ducky,"Ducky is a nickname and fictional character given name. It may refer to:
"
Mixed,"Mixed is the past tense of mix. 
"
Helian,"Other reasons this message may be displayed:
"
Faustin,"Other reasons this message may be displayed:
"
SAE,"SAE or Sae may refer to:
"
EVCO,"Other reasons this message may be displayed:
"
Daye,"Daye (Chinese: 大冶; pinyin: Dàyě) is a county-level city in eastern Hubei province, China. It is under the administration of the Huangshi prefecture-level city.
"
commode,"A commode is any of many pieces of furniture. The Oxford English Dictionary has multiple meanings of ""commode"". The first relevant definition reads: ""A piece of furniture with drawers and shelves; in the bedroom, a sort of elaborate chest of drawers (so in French); in the drawing room, a large (and generally old-fashioned) kind of chiffonier."" The drawing room is itself a  term for a formal reception room, and a chiffonier is, in this sense, a small sideboard dating from the early 19th century.
"
SOAS,"
"
WOMEX,"WOMEX (short for Worldwide Music Expo) is an international world music support and development project based in Berlin, whose main event is an exposition held annually in different locations throughout Europe. It integrates a trade fair, showcases, conferences, film screenings, networking sessions, and awards. Musicians and their labels have the possibility to make contacts for international touring and album distribution.[1]
"
Valeriu,"Valeriu is a Romanian-language masculine given name, and may refer to:
"
Rangan,"Rangan may refer to:
"
Jaffrey,"Jaffrey may refer to:
"
Harms,"Harms surname. Notable people with the surname include:
"
Batwoman,"Batwoman is a name used by several characters of DC Comics, both in mainstream continuity and Elseworlds. The best known Batwomen are Kathy Kane and Kate Kane.
"
Starpower,"""Starpower"" is a song by American alternative rock band Sonic Youth. It was released in 1986 by record label SST as the first and only single from the band's third studio album, EVOL. It was re-released on colored vinyl in both 1990 and 1991.
"
Republika,"Republika means ""Republic"" or ""The Republic"" in several Balto-Slavic languages. It may refer to:
"
Habitats,"
"
Chechnya,"
"
Danielson,"
"
Tlingits,"
"
Llewelyn,"Llywelyn, Llewelyn or Llewellyn is a name of Welsh language origins. See Llywelyn (name) for the name's etymology, history and other details.
"
Ysui,"Other reasons this message may be displayed:
"
Jzef,"Other reasons this message may be displayed:
"
IMFC,"
"
Pomponius,"The gens Pomponia was a plebeian family at ancient Rome.  Its members appear throughout the history of the Roman Republic, and into imperial times.  The first of the gens to achieve prominence was Marcus Pomponius, tribune of the plebs in 449 BC; the first who obtained the consulship was Manius Pomponius Matho in 233 BC.[1]
"
Bedfordshire,"
"
Shurkaeva,"Other reasons this message may be displayed:
"
Walkers,"Walkers may refer to:
"
Maor,"Maor (Hebrew: מָאוֹר) is a moshav in north-central Israel. The word Maor means a light or luminary in Hebrew. Located near Baqa al-Gharbiyye, it falls under the jurisdiction of Menashe Regional Council. In 2021 it had a population of 1,441.[1]
"
Misiugin,"Other reasons this message may be displayed:
"
FVAA,"Divisions 
"
Montcalm,"Montcalm may refer to:
"
Upset,"Upset may refer to:
"
Faggin,"Faggin is an Italian surname. Notable people with the surname include:
"
Avenches,"
"
Saltese,"Saltese or Seltice can refer to:
"
Kethamma,"Other reasons this message may be displayed:
"
Mahaprabhu,"Mahaprabhu (Sanskrit: महाप्रभु, romanized: Mahāprabhu, lit. 'Great Lord') is a Sanskrit-language honorific. It may refer to:
"
MEarth,"Other reasons this message may be displayed:
"
Malay,"Malay may refer to: 
"
Glamorganshire,"
"
Toadstool,"A mushroom or toadstool is the fleshy, spore-bearing fruiting body of a fungus, typically produced above ground, on soil, or on its food source. Toadstool generally denotes one poisonous to humans.[1]
"
Komnenos,"The House of Komnenos (pl. Komnenoi; Greek: Κομνηνός, pl. Κομνηνοί, [komniˈni]), Latinized as Comnenus (pl. Comneni), was a Byzantine Greek noble family who ruled the Byzantine Empire in the 11th and 12th centuries. The first reigning member, Isaac I Komnenos, ruled from 1057 to 1059. The family returned to power under Alexios I Komnenos in 1081 who established their rule for the following 104 years until it ended with Andronikos I Komnenos in 1185. In the 13th century, they founded and ruled the Empire of Trebizond, a Byzantine rump state from 1204 to 1461.[1] At that time, they were commonly referred to as Grand Komnenoi (Μεγαλοκομνηνοί, Megalokomnenoi), a style that was officially adopted and used by George Komnenos and his successors. Through intermarriages with other noble families, notably the Doukas, Angelos, and Palaiologos, the Komnenos name appears among most of the major noble houses of the late Byzantine world.
"
Virilio,"Paul Virilio (French: [viʁiljo]; 4 January 1932 – 10 September 2018)[3] was a French cultural theorist, urbanist, architect and aesthetic philosopher. He is best known for his writings about technology as it has developed in relation to speed and power, with diverse references to architecture, the arts, the city and the military. Virilio was a prolific creator of neologisms, most notably his concept of ""Dromology"", the all-around, pervasive inscription of speed in every aspect of life.
"
Kiat,"Other reasons this message may be displayed:
"
Indiewire,"
"
biosynthetic,"Biosynthesis is a multi-step, enzyme-catalyzed process where substrates are converted into more complex products in living organisms. In biosynthesis, simple compounds are modified, converted into other compounds, or joined to form macromolecules. This process often consists of metabolic pathways. Some of these biosynthetic pathways are located within a single cellular organelle, while others involve enzymes that are located within multiple cellular organelles. Examples of these biosynthetic pathways include the production of lipid membrane components and nucleotides. Biosynthesis is usually synonymous with anabolism.
"
Okali,"Other reasons this message may be displayed:
"
Propagation,"Propagation can refer to:
"
Ramirez,"Ramirez may refer to:
"
bra,"
"
bistable,"Bistable may refer to:
"
Louisville,"
"
Fundraiser,"Fundraising or fund-raising is the process of seeking and gathering voluntary financial contributions by engaging individuals, businesses, charitable foundations, or governmental agencies. Although fundraising typically refers to efforts to gather money for non-profit organizations, it is sometimes used to refer to the identification and solicitation of investors or other sources of capital for for-profit enterprises.
"
Londel,"Other reasons this message may be displayed:
"
LCR,"LCR may refer to:
"
Potez,"Potez (pronounced [pɔtɛz]) was a French aircraft manufacturer founded as Aéroplanes Henry Potez by Henry Potez at Aubervilliers in 1919. The firm began by refurbishing war-surplus SEA IV aircraft, but was soon building new examples of an improved version, the Potez SEA VII.
"
Adegoweni,"Other reasons this message may be displayed:
"
biker,"Biker or bikie may refer to:
"
Fortunian,"47°04′34″N 55°49′52″W﻿ / ﻿47.0762°N 55.8310°W﻿ / 47.0762; -55.8310
The Fortunian age marks the beginning of the Phanerozoic Eon, the Paleozoic Era, and the Cambrian Period. It is the first of the two stages of the Terreneuvian series. Its base is defined as the first appearance of the trace fossil Treptichnus pedum 538.8 million years ago. The top of the Fortunian which is the base of the Stage 2 of the Cambrian has not been formally defined yet, but will correspond to the appearance of an Archeocyatha species or ""Small shelly fossils"" approximately 529 million years ago.[4]
"
Shiloango,"Other reasons this message may be displayed:
"
Madeline,"Madeline is a media franchise that originated as a series of children's books written and illustrated by Ludwig Bemelmans,[1] an Austrian-American author. The books have been adapted into numerous formats, spawning telefilms, television series and a live action feature film. As a closing line, the adaptations invoke a famous phrase Ethel Barrymore used to rebuff curtain calls, ""That's all there is, there isn't any more"".[2] The stories take place in a Catholic boarding school in Paris. The teacher, a nun named Miss Clavel, is strict but loves the children, cares for them, and is open to their ideas.
"
Sirmauri,"Sirmauri is a Western Pahari language spoken in the Sirmaur district in the northern Indian state of Himachal Pradesh. Its two main varieties are Dharthi (also called Giriwari) and Giripari.
"
aspirational,"Aspiration or aspirations may refer to:
"
Sulmona,"Sulmona (Abruzzese: Sulmóne; Latin: Sulmo; Ancient Greek: Σουλμῶν, romanized: Soulmôn) is a city and comune of the province of L'Aquila in Abruzzo, Italy. It is located in the Valle Peligna, a plain once occupied by a lake that disappeared in prehistoric times. In the ancient era, it was one of the most important cities of the Paeligni and is known for being the native town of the Roman poet Ovid, of whom there is a bronze statue, located on the town's main road and named after him.
"
Schlyter,"Schlyter, formerly Schlytern and Schlüter, is a family, known since the 14th century, that originated in Brabant but moved to Germany and Denmark, possibly because of religious persecution. The family came to Sweden from Pomerania with Herman Schlüter around 1592. In Blekinge, Sweden, members of the Schlyter family were mayors of the locality of Ronneby for about 100 years. When the city of Karlskrona, Sweden, was founded, the Schlyter family was at the forefront.[1]
"
Cindy,"Cindy may refer to:
"
Parco,"Parco can refer to:
"
Malaysia,"
"
bushy,"Bushy may refer to:
"
Woonsocket,"Woonsocket (/wʊnˈsɒkɪt, wən-/ (listen) wuun-SOK-it, wən-), is a city in Providence County, Rhode Island, United States. The population was 43,240 at the 2020 census, making it the sixth largest city in the state. Being Rhode Island's northernmost city, Woonsocket lies directly south of the Massachusetts state line and constitutes part of both the Providence metropolitan area and the larger Greater Boston Combined Statistical Area.
"
Cetus,"
"
Crave,"Crave or Craving may refer to:
"
Tramvajov,"Other reasons this message may be displayed:
"
Mgboko,"Mgboko is a town home to the Local Government Headquarters of Obi Ngwa, Abia State, Nigeria.
"
Alison,"
"
aeronautical,"Aeronautics is the science or art involved with the study, design, and manufacturing of air flight–capable machines, and the techniques of operating aircraft and rockets within the atmosphere. The British Royal Aeronautical Society identifies the aspects of ""aeronautical Art, Science and Engineering"" and ""The profession of Aeronautics (which expression includes Astronautics).""[1]
"
Cheme,"Other reasons this message may be displayed:
"
cartoonishly,"Other reasons this message may be displayed:
"
Luan,"Luan may refer to:
"
Tenebrae,"Tenebrae (/ˈtɛnəbreɪ, -bri/[1]—Latin for ""darkness"") is a religious service of Western Christianity held during the three days preceding Easter Day, and characterized by gradual extinguishing of candles, and by a ""strepitus"" or ""loud noise"" taking place in total darkness near the end of the service.
"
Nakao,"Nakao (written: 中尾) is a Japanese surname. Notable people with the surname include:
"
Wike,"Wike, WIKE, or Wyke may refer to:
"
Character,"Character or Characters may refer to:
"
Geamnu,"Other reasons this message may be displayed:
"
UMass,"
"
Peyton,"Peyton may refer to:
"
Chulalongkorn,"
"
Wythe,"A wythe is a continuous vertical section of masonry one unit in thickness.  A wythe may be independent of, or interlocked with, the adjoining wythe(s).  A single wythe of brick that is not structural in nature is referred to as a masonry veneer.
"
bleach,"
"
Migos,"
"
Antietam,"
"
Parmacella,"
"
Dumpty,"Other reasons this message may be displayed:
"
Wally,"Wally may refer to:
"
Komangalam,"Other reasons this message may be displayed:
"
Godmother,"A godmother is a female godparent in the Christian tradition; she is present at the christening of the child and promises to see that the child is raised to be a Christian. She may also offer mentorship and/or claim legal guardianship of the child as her own if needed due to circumstances.
"
Semite,"
"
Ohel,"Ohel may refer to:
"
Linienschiffskapitn,"Other reasons this message may be displayed:
"
Maternal,"
"
Clean,"Clean  may refer to:
"
Calgary,"
"
Tox,"Tox or TOX may refer to:
"
channa,"
"
Mellinger,"Other reasons this message may be displayed:
"
NTEK,"Other reasons this message may be displayed:
"
Maharagama,"
"
Lamprolectica,"
"
WARRANTIES,"Other reasons this message may be displayed:
"
Grisham,"John Ray Grisham Jr. (/ˈɡrɪʃəm/; born February 8, 1955, in Jonesboro, Arkansas)[1][2] is an American novelist, lawyer and former member of the 7th district of the Mississippi House of Representatives, known for his best selling legal thrillers. According to the American Academy of Achievement, Grisham has written 37 consecutive number-one fiction bestsellers, and his books have sold 300 million copies worldwide.[3] Along with Tom Clancy and J. K. Rowling, Grisham is one of only three authors to have sold two million copies on the first printing.[4][5]
"
Reelin,"
"
Biscuits,"
"
Khali,"Khali and similar can mean:
"
Lydie,"Lydie may refer to:
"
McKibben,"McKibben  is the name of:
"
PXG,"
"
anterior,"
"
Ibrruri,"Other reasons this message may be displayed:
"
Fused,"Fuse or FUSE may refer to:
"
Bascom,"Bascom may refer to:
"
beltza,"Other reasons this message may be displayed:
"
Nalchik,"
"
Vtianu,"Other reasons this message may be displayed:
"
Lindw,"Other reasons this message may be displayed:
"
Austevollshella,"Austevollshella or Austevoll is a village in Austevoll municipality, Norway. Austevollshella is located on the southeastern coast of the island of Hundvåko.  The Austevoll Bridge, which connects Hundvåko and Huftarøy islands, is located at Austevollshella.  The village has been the site of a church since the middle ages.  Austevoll Church was located here until 1890 when it was torn down and rebuilt in the larger village of Storebø.  One hundred years later, Hundvåkøy Chapel was built at Austevollshella to serve the people of the island.[2]
"
Webber,"Webber may refer to:
"
Saida,"Saida may refer to:
"
Tritonia,"Tritonia may refer to: 
"
Italianate,"The Italianate style was a distinct 19th-century phase in the history of Classical architecture. Like Palladianism and Neoclassicism, the Italianate style drew its inspiration from the models and architectural vocabulary of 16th-century Italian Renaissance architecture, synthesising these with picturesque aesthetics. The style of architecture that was thus created, though also characterised as ""Neo-Renaissance"", was essentially of its own time. ""The backward look transforms its object,"" Siegfried Giedion wrote of historicist architectural styles;[2] ""every spectator at every period—at every moment, indeed—inevitably transforms the past according to his own nature.""
"
Winterhill,"Campbell Park is a civil parish in Milton Keynes, Buckinghamshire, England. The parish is bounded by Childs Way (H6) to the north, the River Ouzel to the east, the A5 to the west, and Chaffron Way to the south. The parish includes the § Fishermead, § Newlands, § Oldbrook, § Springfield, § Winterhill, Willen and The Woolstones grid-squares. The parish was originally known as Woolstone-cum-Willen,[2] and was formed on 1 April 1934 as a merger of Great Woolstone, Little Woolstone and Willen.[3] The parish was part of Newport Pagnell Rural District until the latter became part of the Borough of Milton Keynes in 1974.[3] The parish was redefined in 2012, when the districts of Campbell Park (sic), Newlands and Willen were reallocated to other parishes. Despite the loss of its eponymous district, the Parish Council continues to use its name. As of December 2022[update], the parish council is consulting on changing its name (to ""Secklow Community Council"").[4]
"
Klych,"Other reasons this message may be displayed:
"
Finaru,"Other reasons this message may be displayed:
"
cashews,"
"
Polling,"Poll, polled, or polling may refer to:
"
CIR,"CIR or Cir may refer to:
"
Forecasters,"Other reasons this message may be displayed:
"
Kushnarenkovsky,"Kushnarenkovsky District (Russian: Кушнаре́нковский райо́н; Bashkir: Кушнарен районы or Кушнаренко районы, Kuşnaren(ko) rayonı) is an administrative[1] and municipal[7] district (raion), one of the fifty-four in the Republic of Bashkortostan, Russia. It is located in the northern central part of the republic and borders with Birsky District in the north, Blagoveshchensky District in the northeast and east, Ufimsky District in the east and southeast, Chishminsky District in the south, Blagovarsky District in the south and southwest, Chekmagushevsky District in the west, and with Dyurtyulinsky District in the northwest. The area of the district is 1,717.77 square kilometers (663.23 sq mi).[2] Its administrative center is the rural locality (a selo) of Kushnarenkovo.[3] As of the 2010 Census, the total population of the district was 27,491, with the population of Kushnarenkovo accounting for 35.9% of that number.[4]
"
awiil,"Other reasons this message may be displayed:
"
Ste,"Other reasons this message may be displayed:
"
Beachcomber,"A beachcomber is a person who practices beachcombing.
"
Bukovou,"Other reasons this message may be displayed:
"
Bitesize,"
"
Naganobu,"Other reasons this message may be displayed:
"
Bergerac,"Bergerac or de Bergerac may refer to:
"
Misch,"Misch is a German surname. Notable people with the surname include:
"
Mixtures,"
In chemistry, a mixture is a material made up of two or more different chemical substances which are not chemically bonded.[1] A mixture is the physical combination of two or more substances in which the identities are retained and are mixed in the form of solutions, suspensions and colloids.[2][3]
"
Sojourner,"A sojourner is a person who resides temporarily in a place.
"
Buhler,"Buhler, Buehler, or Bühler may refer to:
"
Weihai,"
"
beatmaker,"
"
Willinger,"Willinger is a surname. Notable people with the surname include:
"
Pessoa,"Pessoa may refer to:
"
Manufactured,"
"
Shishido,"Shishido (宍戸) is a Japanese surname. Notable people with the surname include:
"
Vasudhendra,"
"
Granvista,"Other reasons this message may be displayed:
"
Alnwick,"
"
ZX,"ZX may refer to:
"
Sigmund,"In Germanic mythology, Sigmund (Old Norse: Sigmundr [ˈsiɣˌmundz̠], Old English: Sigemund) is a hero whose story is told in the Völsunga saga. He and his sister, Signý, are the children of Völsung and his wife Hljod. Sigmund is best known as the father of Sigurð the dragon-slayer, though Sigurð's tale has almost no connections to the Völsung cycle except that he was a dragonslayer.
"
chromophores,"A chromophore is the part of a molecule responsible for its color.[2]
The color that is seen by our eyes is the one not absorbed by the reflecting object within a certain wavelength spectrum of visible light. The chromophore is a region in the molecule where the energy difference between two separate molecular orbitals falls within the range of the visible spectrum. Visible light that hits the chromophore can thus be absorbed by exciting an electron from its ground state into an excited state.  In biological molecules that serve to capture or detect light energy, the chromophore is the moiety that causes a conformational change in the molecule when hit by light.
"
Heldeberg,"
"
bakelite,"

"
Brindlee,"Other reasons this message may be displayed:
"
Misunderstand,"Misunderstand is for one to understand incorrectly, while thinking one has understood correctly.
"
Arcy,"Ryan Christenson (known by the pseudonym ARCY) is an American graffiti artist and muralist from Connecticut. He has created numerous murals and live paintings throughout the United States, England, Portugal, Greece, Ireland, Australia, and other locales.[1] Christenson's clients have included the Smithsonian Institution, Major League Baseball, and the National Park Service. He also creates work for Disney's Fine Art collection.[2] Recent work by ARCY includes his horse coliseum mural at the 2019 Big E,[3] and his 2020 Kobe Bryant mural for the super bowl in Miami.[4]
"
Seahorses,"
"
bayou,"In usage in the Southern United States, a bayou (/ˈbaɪ.uː, ˈbaɪ.oʊ/)[1] is a body of water typically found in a flat, low-lying area. It may refer to an extremely slow-moving stream, river (often with a poorly defined shoreline), marshy lake, wetland, or creek. They typically contain brackish water highly conducive to fish life and plankton. Bayous are commonly found in the Gulf Coast region of the southern United States, especially in the Mississippi River Delta, though they also exist elsewhere.
"
Mosques,"A mosque (/mɒsk/ MOSK) or masjid (/ˈmæsdʒɪd, ˈmʌs-/ MASS-jid, MUSS-; both from Arabic: مَسْجِد, romanized: masjid, pronounced [ˈmasdʒid]; lit. 'place of ritual prostration') is a place of prayer for Muslims.[1] Mosques are usually covered buildings, but can be any place where prayers (salah) are performed, including outdoor courtyards.[2][3]
"
